Source,Address,County,Sector,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),Location,Point Size- Based on Total Emissions,Sector Number
King County Solid Waste Cedar Hills Landfill - Maple Valley,"16645 228th Avenue SE Maple Valley, WA 98038",King,Waste,Municipal Landfills,72848,0,334,72514,1,0,0,0,0,"(47.462625, -122.046025)",2,11
The Boeing Company: DC/MFC - Tukwila,"9725 East Marginal Way South Tukwila, WA 98108",King,Manufacturing,Transportation,15437,0,15421,7,9,0,0,0,0,"(47.516246, -122.298613)",1,4
Phillips 66 Ferndale Refinery - Ferndale,"3901 Unick Road Ferndale, WA 98248",Whatcom,Refineries,Petroleum Refineries,748775,0,745348,1540,1887,0,0,0,0,"(48.830142, -122.692114)",3,10
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,"227515 E. Bowles Rd Kennewick, WA 99337",Benton,Chemicals,Nitric Acid Production,144290,0,10992,1,133297,0,0,0,0,"(46.165957, -119.017218)",3,1
Northwest Pipeline C/S - Chehalis,"156 Meier Road West Chehalis, WA 98596",Lewis,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,17894,0,16480,1405,9,0,0,0,0,"(46.533325, -122.87373)",1,7
River Road Generating Plant - Vancouver,"5201 NW Lower River Road Vancouver, WA 98660",Clark,Power Plants,Natural Gas Turbine Plants,495761,0,495258,230,274,0,0,0,0,"(45.64958, -122.724806)",3,8
Ardagh Glass Inc. - Seattle,"5801 East Marginal Way South Seattle, WA 98134",King,Minerals,Glass Production,75338,0,75278,28,33,0,0,0,0,"(47.55242, -122.33739)",2,6
SGL Composites  LLC - Moses Lake,"8781 Randolph Rd NE Moses Lake, WA 98837",Grant,Manufacturing,Transportation,5824,0,5818,3,3,0,0,0,0,"(47.208993, -119.285437)",1,4
"Bio Energy Washington, LLC - Maple Valley","16650 228th Avenue SE Maple Valley, WA 98038",King,Power Plants,"Other Power, Heating, or Cooling Plants",28391,26962,1286,42,100,0,0,0,0,"(47.455871, -122.041817)",2,8
Hampton Lumber Mills Washington Inc. - Darrington,"46921 Sauk Prairie Road Darrington, WA 98241",Snohomish,Wood Products,Lumber Mills,87331,86180,0,166,986,0,0,0,0,"(48.262797, -121.597608)",2,12
U.S. Oil & Refining Co. - Tacoma,"3001 Marshall Ave Tacoma, WA 98421",Pierce,Refineries,Petroleum Refineries,133427,0,132020,963,444,0,0,0,0,"(47.256813, -122.394952)",3,10
Frederickson Power LP - Tacoma,"18610 - 50th Ave E Tacoma, WA 98446",Pierce,Power Plants,Natural Gas Turbine Plants,352422,0,352064,163,195,0,0,0,0,"(47.086342, -122.365686)",3,8
Cheyne Landfill - Zillah,"4970 Cheyne Road Zillah, WA 98953",Yakima,Waste,Municipal Landfills,37331,0,0,37331,0,0,0,0,0,"(46.4785, -120.2688)",2,11
"El Oro Cattle Feeders, LLC - Moses Lake","18857 Road 2.7 SE Moses Lake, WA 98837",Grant,Food Production,Cattle Feedlots,26281,0,0,2038,24243,0,0,0,0,"(47.052176, -119.093815)",2,2
City of Tacoma Solid Waste Facility - Tacoma,"3510 South Mullen Street Tacoma, WA 98409",Pierce,Waste,Municipal Landfills,16417,0,0,16417,0,0,0,0,0,"(47.223413, -122.499775)",1,11
Grays Harbor Energy Center - Elma,"401 Keys Road Elma, WA 98541",Grays Harbor,Power Plants,Natural Gas Turbine Plants,1107991,0,1106866,513,612,0,0,0,0,"(46.9688, -123.48)",4,8
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls","1274 S. Boise Rd Kettle Falls, WA 99141",Stevens,Wood Products,Engineered Wood,70889,54924,15216,113,637,0,0,0,0,"(48.613175, -118.116106)",2,12
Puget Sound Energy - Sumas Generating Station - Sumas,"1340 Thompson Lane Sumas, WA 98295",Whatcom,Power Plants,Natural Gas Turbine Plants,125472,0,125345,58,69,0,0,0,0,"(48.9905, -122.2733)",3,8
Sierra Pacific Industries - Shelton,"100 North Front Street Shelton, WA 98584",Mason,Wood Products,Lumber Mills,33615,32884,291,63,376,0,0,0,0,"(47.213448, -123.096517)",2,12
Cascade Natural Gas Corporation LDC - statewide,"8113 W Grandridge Blvd Kennewick, WA 99336",Benton,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,26227,0,116,26111,0,0,0,0,0,"(46.21875, -119.22987)",2,7
Gas Transmission Northwest Compressor Station 8 - Wallula,"638 Lambdin Road Wallula, WA 99363",Walla Walla,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,161511,0,118074,43371,66,0,0,0,0,"(46.053153, -118.843934)",3,7
Northwest Pipeline C/S - Sumner,"3104 166th Ave E Sumner, WA 98390",Pierce,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,37486,0,36678,787,21,0,0,0,0,"(47.228986, -122.209551)",2,7
Hampton Lumber Mills Washington Inc. - Morton,"302 State Highway 7 Morton, WA 98356",Lewis,Wood Products,Lumber Mills,30379,29974,4,58,343,0,0,0,0,"(46.565997, -122.269573)",2,12
McKinley Paper Co. - Washington Mill - Port Angeles,"1902 Marine Drive Port Angeles, WA 98363",Clallam,Pulp and Paper,TMP Mills,63532,58436,43,4384,668,0,0,0,0,"(48.134623, -123.467524)",2,9
Cowlitz County Headquarters Landfill - Castle Rock,"3434 South Silver Lake Road Castle Rock, WA 98611",Cowlitz,Waste,Municipal Landfills,218522,11096,0,207386,40,0,0,0,0,"(46.246902, -122.772284)",3,11
Puget Sound Energy - Frederickson Generating Station - Tacoma,"4714 192nd St E Tacoma, WA 98446",Pierce,Power Plants,Natural Gas Turbine Plants,44365,0,44319,21,25,0,0,0,0,"(47.079716, -122.364711)",2,8
Shell Puget Sound Refinery - Anacortes,"8505 South Texas Road Anacortes, WA 98221",Skagit,Refineries,Petroleum Refineries,1902427,0,1892335,6039,4053,0,0,0,0,"(48.470931, -122.559161)",4,10
"North Pacific Paper Company, LLC - Longview","3001 Industrial Way Longview, WA 98632",Cowlitz,Pulp and Paper,TMP Mills,34365,0,34330,16,19,0,0,0,0,"(46.125662, -122.976788)",2,9
Washington State University - Pullman,"2660 Grimes Way Pullman, WA 99164-1172",Whitman,Government,Education,65446,0,65377,31,38,0,0,0,0,"(46.728702, -117.151481)",2,3
Imerys Minerals Quincy Plant - Quincy,"16419 Road, 10.5 NW Quincy, WA 98848",Grant,Minerals,Other Minerals,21395,0,21373,10,12,0,0,0,0,"(47.239948, -119.838831)",1,6
Starbucks Kent Flexible Plant - Kent,"18411 77th Place South Kent, WA 98032",King,Food Production,Other Food Products,14186,0,14172,7,8,0,0,0,0,"(47.436276, -122.237648)",1,2
Northwest Pipeline C/S - Goldendale,"120 Hoctor Road Goldendale, WA 98620",Klickitat,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,19062,0,16650,2403,9,0,0,0,0,"(45.771216, -120.799267)",1,7
Terrace Heights Landfill - Yakima,"7151 Roza Hill Drive Yakima, WA 98901",Yakima,Waste,Municipal Landfills,114513,0,20,114494,0,0,0,0,0,"(46.610031, -120.39408)",3,11
Roosevelt Regional Landfill - Roosevelt,"500 Roosevelt Grade Rd., PO Box 338 Roosevelt, WA 99356-0338",Klickitat,Waste,Municipal Landfills,208590,0,387,208202,1,0,0,0,0,"(45.807146, -120.179785)",3,11
Air Liquide  - Anacortes,"8581 S. Texas Rd. Anacortes, WA 98221",Skagit,Chemicals,Hydrogen Production,63461,0,63461,0,0,0,0,0,0,"(48.465617, -122.556032)",2,1
Linde Gas North America LLC - Anacortes,"8529 South Texas Road Anacortes, WA 98221",Skagit,Chemicals,Hydrogen Production,36176,0,36176,0,0,0,0,0,0,"(48.467646, -122.554343)",2,1
Ascensus Specialties LLC - Elma,"4800 State Route 12 Elma, WA 98541",Grays Harbor,Chemicals,Other Chemicals,21310,0,21288,10,12,0,0,0,0,"(46.995459, -123.382316)",1,1
"Horse Heaven Cattle Feeders, Inc. - Sunnyside","1691 Midvale Road Sunnyside, WA 98944",Yakima,Food Production,Cattle Feedlots,11439,0,0,883,10556,0,0,0,0,"(46.284622, -120.019668)",1,2
SDS Lumber Company - Bingen,"123 Industrial Road Bingen, WA 98605",Klickitat,Wood Products,Lumber Mills,33663,32875,348,63,376,0,0,0,0,"(45.713913, -121.468688)",2,12
Northwest Hardwoods Inc. - Centralia,"3000 Galvin Road Centralia, WA 98531",Lewis,Wood Products,Lumber Mills,12379,9228,3030,19,103,0,0,0,0,"(46.734454, -122.991963)",1,12
Ponderay Newsprint Company - Usk,"422767 Highway 20 Usk, WA 99180",Pend Oreille,Pulp and Paper,TMP Mills,44532,40551,3426,82,474,0,0,0,0,"(48.289771, -117.271359)",2,9
Cosmo Specialty Fibers Inc - Cosmopolis,"1701 First St Cosmopolis, WA 98537",Grays Harbor,Pulp and Paper,Sulfite Mills,701686,676644,19199,3437,2407,0,0,0,0,"(46.952907, -123.76211)",3,9
Emerald City Renewables LLC LFGTE- Graham,"30919 Meridian Ave East Graham, WA 98338",Pierce,Power Plants,"Other Power, Heating, or Cooling Plants",20394,20290,0,31,73,0,0,0,0,"(46.975533, -122.290871)",1,8
"Lamb Weston, Inc. Pasco - Pasco","960 Glade Rd. North Pasco, WA 99301",Franklin,Food Production,Potato Products,50961,0,50908,24,29,0,0,0,0,"(46.288137, -119.115336)",2,2
Cathcart Landfill - Snohomish,"8915 Cathcart Way Snohomish, WA 98296",Snohomish,Waste,Municipal Landfills,28273,0,172,28101,0,0,0,0,0,"(47.870014, -122.118284)",2,11
The Boeing Company: Boeing Plant 2 - Seattle,"7755 E. Marginal Way S. Seattle, WA 98108",King,Manufacturing,Transportation,24064,0,24039,11,13,0,0,0,0,"(47.532524, -122.311623)",1,4
Darigold - Sunnyside,"400 Alexander Road Sunnyside, WA 98944",Yakima,Food Production,Dairy Products,37986,0,37946,18,21,0,0,0,0,"(46.30058, -120.015675)",2,2
Northwest Pipeline C/S - Sumas,"4738 Jones Rd Sumas, WA 98295",Whatcom,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,96857,0,92864,3942,52,0,0,0,0,"(49.001, -122.2214)",2,7
J.R. Simplot Company - Othello,"1201 N Broadway Ave Othello, WA 99344",Adams,Food Production,Potato Products,95215,0,49074,46114,27,0,0,0,0,"(46.837778, -119.176389)",2,2
"Nucor Steel Seattle, Inc, - Seattle","2424 SW Andover St Seattle, WA 98106",King,Metals,Iron and Steel Production,168980,0,168933,22,26,0,0,0,0,"(47.569331, -122.367332)",3,5
Basic American Foods - Moses Lake,"538 Potato Frontage Road Moses Lake, WA 98837",Grant,Food Production,Potato Products,30576,0,30545,15,17,0,0,0,0,"(47.075183, -119.220408)",2,2
Great Western Malt - Vancouver,"1705 NW Harborside Drive Vancouver, WA 98660",Clark,Food Production,Other Food Products,17689,0,17671,8,10,0,0,0,0,"(45.631069, -122.690043)",1,2
U.S. Department of Energy Hanford Site - Richland,"2420 Stevens Center Place Richland, WA 99354",Benton,Government,Other Government,14744,0,5157,9523,8,0,0,57,0,"(46.55069, -119.489007)",1,3
Puget Sound Energy - Mint Farm Generating Station - Longview,"1200 Prudential Blvd Longview, WA 98632",Cowlitz,Power Plants,Natural Gas Turbine Plants,356270,0,355908,165,197,0,0,0,0,"(46.140095, -122.985138)",3,8
Sierra Pacific Industries - Centralia,"3115 Kuper Rd Centralia, WA 98531",Lewis,Wood Products,Lumber Mills,44147,43565,1,84,498,0,0,0,0,"(46.756413, -122.995433)",2,12
McCain Foods - Othello,"100 Lee Street Othello, WA 99344",Adams,Food Production,Potato Products,63045,0,40134,22889,23,0,0,0,0,"(46.840102, -119.172705)",2,2
Northwest Pipeline Willard C/S - Cook,"Willard Rd. Milepost 1 Cook, WA 98605",Skamania,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,9287,0,7707,1575,4,0,0,0,0,"(45.778087, -121.626311)",1,7
Lamb Weston/BSW - Warden,"1203 Basin St Warden, WA 98857",Grant,Food Production,Potato Products,18987,0,18968,9,11,0,0,0,0,"(46.971504, -119.055427)",1,2
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls","610 West 3rd Avenue Kettle Falls, WA 99141",Stevens,Wood Products,Lumber Mills,54397,53680,0,103,614,0,0,0,0,"(48.609799, -118.067441)",2,12
Spectrum Glass Company - Woodinville,"24105 Snohomish-Woodinville Road Woodinville, WA 98072",King,Minerals,Glass Production,122,0,122,0,0,0,0,0,0,"(47.777004, -122.148978)",1,6
Fairchild AFB - Spokane Co.,"1 E Bong St Fairchild AFB, WA 99011",Spokane,Government,National Security,12823,0,12809,6,7,0,0,0,0,"(47.641332, -117.644832)",1,3
Tesoro Refining & Marketing Company LLC - Anacortes,"10200 West March Point Road Anacortes, WA 98221",Skagit,Refineries,Petroleum Refineries,1350080,0,1344540,2051,3489,0,0,0,0,"(48.493816, -122.564845)",4,10
Land Recovery Landfill Industrial - Graham,"30919 Meridian Street East Graham, WA 98338",Pierce,Waste,Municipal Landfills,132924,0,0,132924,0,0,0,0,0,"(46.972405, -122.292799)",3,11
Sonoco Products Company - Sumner,"1802 Steele Ave. Sumner, WA 98390",Pierce,Pulp and Paper,Other Pulp and Paper,11361,0,11350,5,6,0,0,0,0,"(47.210641, -122.239474)",1,9
Puget Sound Energy - Ferndale Generating Station - Ferndale,"5105 Lake Terrell Road Ferndale, WA 98248",Whatcom,Power Plants,Natural Gas Turbine Plants,350887,0,350531,163,194,0,0,0,0,"(48.828707, -122.685533)",3,8
Alcoa Intalco Works - Ferndale,"4050 Mountain View Road Ferndale, WA 98248",Whatcom,Metals,Aluminum Production,1091665,0,354712,9675,32,0,727246,0,0,"(48.8455, -122.7055)",4,5
Darigold - Lynden,"8424 Depot Road Lynden, WA 98264",Whatcom,Food Production,Dairy Products,17624,0,17606,9,10,0,0,0,0,"(48.947567, -122.451915)",1,2
Darling Ingredients Inc - Tacoma,"2041 Marc Avenue Tacoma, WA 98421",Pierce,Food Production,Meat Products,11327,0,11315,5,6,0,0,0,0,"(47.250503, -122.406461)",1,2
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,"191 Webb Road East Wenatchee, WA 98802",Douglas,Waste,Municipal Landfills,27951,0,0,27951,0,0,0,0,0,"(47.405083, -120.167444)",2,11
Gas Transmission Northwest Compressor Station 7 - Starbuck,"Lyons Ferry Rd. Starbuck, WA 99359",Columbia,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,41961,0,41065,872,23,0,0,0,0,"(46.53558, -118.293441)",2,7
J.R. Simplot Company - Moses Lake,"14124 Wheeler Rd NE Moses Lake, WA 98837",Grant,Food Production,Potato Products,40219,3144,30439,6608,28,0,0,0,0,"(47.131732, -119.18926)",2,2
Boulder Park Generating Station - Spokane Valley,"4424 N. Barker Road Spokane Valley, WA 99027",Spokane,Power Plants,"Other Power, Heating, or Cooling Plants",13286,0,13272,6,7,0,0,0,0,"(47.696999, -117.147223)",1,8
"WestRock CP, LLC - Tacoma","801 E. Portland Ave. Tacoma, WA 98421",Pierce,Pulp and Paper,Kraft Mills,1124426,1000676,117612,1108,5031,0,0,0,0,"(47.260953, -122.421765)",4,9
Central Washington University - Ellensburg,"400 E University Way Ellensburg, WA 98926",Kittitas,Government,Education,13669,0,13655,7,8,0,0,0,0,"(47.003202, -120.544513)",1,3
